FID,gid,speed_90
ReAtlas_us_windspeed_offshore.10811,10811,5.125
ReAtlas_us_windspeed_offshore.10812,10812,4.875
ReAtlas_us_windspeed_offshore.10813,10813,4.625
ReAtlas_us_windspeed_offshore.10814,10814,4.875
ReAtlas_us_windspeed_offshore.10815,10815,5.125
ReAtlas_us_windspeed_offshore.10816,10816,5.375
ReAtlas_us_windspeed_offshore.10820,10820,4.375
ReAtlas_us_windspeed_offshore.10821,10821,5.875
ReAtlas_us_windspeed_offshore.10823,10823,4.875
ReAtlas_us_windspeed_offshore.10824,10824,4.625
ReAtlas_us_windspeed_offshore.10825,10825,4.375
ReAtlas_us_windspeed_offshore.10826,10826,4.125
ReAtlas_us_windspeed_offshore.10827,10827,4.375
ReAtlas_us_windspeed_offshore.10828,10828,4.625
ReAtlas_us_windspeed_offshore.10829,10829,4.875
ReAtlas_us_windspeed_offshore.10830,10830,5.125
ReAtlas_us_windspeed_offshore.10831,10831,4.875
ReAtlas_us_windspeed_offshore.10832,10832,4.375
ReAtlas_us_windspeed_offshore.10833,10833,4.625
ReAtlas_us_windspeed_offshore.10834,10834,4.375
ReAtlas_us_windspeed_offshore.10835,10835,4.625
ReAtlas_us_windspeed_offshore.10836,10836,4.875
ReAtlas_us_windspeed_offshore.10837,10837,5.125
ReAtlas_us_windspeed_offshore.10838,10838,5.375
ReAtlas_us_windspeed_offshore.10839,10839,5.625
ReAtlas_us_windspeed_offshore.10840,10840,5.375
ReAtlas_us_windspeed_offshore.10841,10841,4.125
