FID,lat,lon,gid,reachid,pen_power_,pen_head_f
ReAtlas_smallhydro.4887,42.127955155099144,-121.94995720847487,4887,974484.000000,5991.089,46.358
ReAtlas_smallhydro.4890,41.95264715496155,-122.90109627782562,4890,979217.000000,1110.306,1562.041
ReAtlas_smallhydro.4891,42.149481537198774,-121.98208169490673,4891,979236.000000,17941.312,138.780
ReAtlas_smallhydro.4892,42.14985066264874,-122.01410645188813,4892,979188.000000,6361.431,48.983
ReAtlas_smallhydro.4893,41.99529169389596,-122.77064252656535,4893,979174.000000,1079.860,434.744
ReAtlas_smallhydro.4896,42.228871682042765,-121.79856669212788,4896,974456.000000,4399.734,40.486
ReAtlas_smallhydro.4899,41.94485435938024,-123.48066341160921,4899,979686.000000,1154.917,651.280
ReAtlas_smallhydro.4901,41.92129565872339,-123.8464509322362,4901,930963.000000,1309.969,764.567
ReAtlas_smallhydro.4902,42.579455360059015,-121.85099840756064,4902,933090.000000,1083.985,33.268
ReAtlas_smallhydro.4903,42.66268730437205,-121.8472978220351,4903,962421.000000,1087.916,24.377
ReAtlas_smallhydro.4904,42.685171213376584,-121.82990300986108,4904,962411.000000,9679.626,217.290
ReAtlas_smallhydro.4905,42.72869312988327,-121.83239991825062,4905,962370.000000,1882.493,42.487
ReAtlas_smallhydro.4906,42.72940256762166,-122.09252950522043,4906,970758.000000,1041.496,456.398
ReAtlas_smallhydro.4584,39.50716339800819,-121.57788152011159,4584,971142.000000,1047.172,4.298
ReAtlas_smallhydro.4585,39.52018654574325,-121.54753865628749,4585,971141.000000,18384.320,75.459
ReAtlas_smallhydro.4587,39.542062689601366,-121.49737595202933,4587,971139.000000,19239.591,210.761
ReAtlas_smallhydro.4588,39.542391777602596,-121.4971296659507,4588,971135.000000,30000.000,205.643
ReAtlas_smallhydro.4591,39.664927713306476,-121.42333812880426,4591,964711.000000,1836.326,954.987
ReAtlas_smallhydro.4592,39.69609979008155,-121.37347962647326,4592,964698.000000,3503.413,645.866
ReAtlas_smallhydro.4593,39.695361216756346,-121.3904149038656,4593,964701.000000,2066.566,338.911
ReAtlas_smallhydro.4597,39.738610164176315,-121.561354605383,4597,964671.000000,8973.332,356.627
ReAtlas_smallhydro.4598,39.74394329301328,-121.5358131108299,4598,964664.000000,1231.768,655.906
ReAtlas_smallhydro.4599,39.70520279173778,-121.75765243601404,4599,964035.000000,1306.742,64.567
ReAtlas_smallhydro.4600,39.80195689420722,-121.44654424210819,4600,964652.000000,2289.189,19.029
ReAtlas_smallhydro.4601,39.80598030834323,-121.43920308887132,4601,964650.000000,4822.040,40.420
ReAtlas_smallhydro.4602,39.814821417015395,-121.42737286710397,4602,964645.000000,1196.219,1719.291
ReAtlas_smallhydro.4603,39.79282453596869,-121.56238647652381,4603,964648.000000,4313.054,174.213
ReAtlas_smallhydro.4604,39.82198807568257,-121.42226761842849,4604,964641.000000,2908.297,1530.512
ReAtlas_smallhydro.4605,39.82608437401427,-121.41054966319618,4605,964642.000000,7009.213,60.138
ReAtlas_smallhydro.4606,39.78597560884628,-121.62039513192104,4606,937511.000000,1711.490,961.122
ReAtlas_smallhydro.4607,39.85242556733477,-121.33425720325644,4607,964646.000000,1386.101,1481.857
ReAtlas_smallhydro.4608,39.86372348509414,-121.3144934273515,4608,964643.000000,2013.149,918.340
ReAtlas_smallhydro.4609,39.86534988876405,-121.36973565612789,4609,964636.000000,6465.088,959.055
ReAtlas_smallhydro.4610,39.86884610129201,-121.3743012483859,4610,964624.000000,13241.738,120.112
ReAtlas_smallhydro.4611,39.83126123112445,-121.56317660808165,4611,964623.000000,3539.676,146.063
ReAtlas_smallhydro.4612,39.87906116562893,-121.37322498635695,4612,964622.000000,1601.673,2326.837
ReAtlas_smallhydro.4613,39.859954716545566,-121.51344220226602,4613,964617.000000,4095.840,198.852
ReAtlas_smallhydro.4614,39.852645489810484,-121.5551863852867,4614,964618.000000,1182.724,629.790
ReAtlas_smallhydro.4615,39.85674325976211,-121.53686133178203,4615,964619.000000,7047.652,320.505
ReAtlas_smallhydro.4616,39.90099862989898,-121.36244100993801,4616,964616.000000,10009.628,1607.972
ReAtlas_smallhydro.4617,39.87971619645922,-121.50521214017914,4617,964612.000000,1268.271,197.572
ReAtlas_smallhydro.4618,39.917706949134825,-121.32186283281442,4618,964613.000000,14903.060,152.297
ReAtlas_smallhydro.4619,39.85873255709823,-121.63374998914969,4619,937524.000000,13904.575,800.361
ReAtlas_smallhydro.4620,39.88797034262959,-121.49756735896503,4620,964610.000000,2805.436,517.192
ReAtlas_smallhydro.4621,39.88933192803758,-121.5123796214796,4621,964611.000000,5846.767,429.134
ReAtlas_smallhydro.4623,39.90960101748692,-121.47899359860008,4623,964603.000000,2803.440,637.238
ReAtlas_smallhydro.4624,39.93730163171594,-121.36271968842158,4624,964597.000000,3075.847,818.930
ReAtlas_smallhydro.4627,39.9259176332802,-121.4445248344098,4627,964595.000000,1582.871,952.953
ReAtlas_smallhydro.4630,39.68398009710178,-122.65775307359442,4630,936408.000000,1348.718,186.220
ReAtlas_smallhydro.4632,39.91437238477477,-121.61074520258464,4632,937506.000000,3323.128,239.567
ReAtlas_smallhydro.4635,39.907940747542824,-121.68664321778397,4635,937474.000000,5786.637,756.759
ReAtlas_smallhydro.4636,39.94232858404696,-121.5272605665964,4636,964589.000000,2402.177,759.022
ReAtlas_smallhydro.4640,39.92998907923412,-121.61975826043525,4640,937504.000000,1049.128,513.681
ReAtlas_smallhydro.4641,39.95061507708493,-121.52880898209716,4641,964582.000000,1461.969,781.660
ReAtlas_smallhydro.4642,39.951479369307364,-121.53132854709591,4642,964583.000000,4648.152,675.262
ReAtlas_smallhydro.4643,39.96408689672344,-121.50541890923432,4643,964574.000000,1401.793,936.778
ReAtlas_smallhydro.4646,39.81835644631536,-122.32449408926539,4646,980432.000000,1069.783,121.686
ReAtlas_smallhydro.4648,39.97895389007472,-121.58876604508603,4648,937497.000000,5739.811,516.962
ReAtlas_smallhydro.4656,39.85321732345679,-122.65591473024153,4656,936320.000000,2884.472,184.022
ReAtlas_smallhydro.4661,40.02858439671121,-122.64643691404109,4661,936277.000000,1308.947,777.625
